<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
914.HK,D,20120919,000000,19.358,20.032,19.358,19.906,18573358,0
914.HK,D,20120920,000000,19.948,19.991,19.106,19.189,17004543,0
914.HK,D,20120921,000000,19.484,19.653,19.147,19.316,16652391,0
914.HK,D,20120924,000000,19.316,20.286,19.062,20.244,17256294,0
914.HK,D,20120925,000000,20.412,20.792,20.244,20.792,28841219,0
914.HK,D,20120926,000000,20.328,20.497,19.822,20.032,22391545,0
914.HK,D,20120927,000000,19.991,20.455,19.864,20.37,15002447,0
914.HK,D,20120928,000000,20.412,20.58,20.16,20.37,11688458,0
914.HK,D,20121003,000000,20.37,20.919,20.286,20.623,18117040,0
914.HK,D,20121004,000000,20.75,20.75,20.328,20.58,9522522,0
914.HK,D,20121005,000000,20.707,20.919,20.58,20.876,10849426,0
914.HK,D,20121008,000000,20.835,20.835,20.244,20.58,11589709,0
914.HK,D,20121009,000000,20.792,20.876,20.117,20.328,13179447,0
914.HK,D,20121010,000000,20.244,20.707,20.16,20.539,7167493,0
914.HK,D,20121011,000000,20.539,21.255,20.539,21.171,15614940,0
914.HK,D,20121012,000000,21.213,21.551,20.792,21.383,18583080,0
914.HK,D,20121015,000000,21.509,21.678,21.171,21.383,15911317,0
914.HK,D,20121016,000000,21.593,21.636,21.003,21.551,15352826,0
914.HK,D,20121017,000000,21.761,22.015,21.636,21.888,18836945,0
914.HK,D,20121018,000000,22.183,22.563,22.058,22.394,26307048,0
914.HK,D,20121019,000000,22.605,23.112,22.436,22.985,23308549,0
914.HK,D,20121022,000000,22.648,22.858,22.521,22.69,18737234,0
914.HK,D,20121024,000000,22.099,22.183,21.761,21.804,34012589,0
914.HK,D,20121025,000000,21.761,22.058,21.593,21.931,26516595,0
914.HK,D,20121026,000000,21.636,21.888,21.213,21.551,13880461,0
914.HK,D,20121029,000000,21.551,21.974,21.383,21.888,10854328,0
914.HK,D,20121030,000000,21.846,22.099,21.761,21.974,10938983,0
914.HK,D,20121031,000000,22.015,22.732,22.015,22.605,14946096,0
914.HK,D,20121101,000000,22.69,23.744,22.563,23.702,31920228,0
914.HK,D,20121102,000000,23.871,24.039,23.617,23.913,26512173,0
914.HK,D,20121105,000000,24.039,24.08,23.66,23.871,8337680,0
914.HK,D,20121106,000000,23.66,23.913,23.449,23.617,10166169,0
914.HK,D,20121107,000000,23.955,23.955,23.197,23.365,15447150,0
914.HK,D,20121108,000000,22.69,23.154,22.521,22.605,18626629,0
914.HK,D,20121109,000000,22.226,22.521,22.015,22.226,22006103,0
914.HK,D,20121112,000000,22.352,22.563,21.424,21.509,22226767,0
914.HK,D,20121113,000000,21.298,21.424,20.961,21.003,15787954,0
914.HK,D,20121114,000000,21.087,21.424,20.961,21.044,23428120,0
914.HK,D,20121115,000000,20.75,21.509,20.707,21.003,14105601,0
914.HK,D,20121116,000000,21.087,21.213,20.707,20.75,10166140,0
914.HK,D,20121119,000000,20.792,21.424,20.792,21.255,7987913,0
914.HK,D,20121120,000000,21.761,21.761,20.961,21.003,10661701,0
914.HK,D,20121121,000000,21.298,21.551,21.087,21.383,9189241,0
914.HK,D,20121122,000000,21.341,21.593,21.213,21.424,11256893,0
914.HK,D,20121123,000000,21.509,21.974,21.509,21.636,12646326,0
914.HK,D,20121126,000000,21.931,21.974,21.213,21.341,11311622,0
914.HK,D,20121127,000000,21.468,21.678,21.129,21.171,6928586,0
914.HK,D,20121128,000000,21.087,21.72,20.919,21.468,14561618,0
914.HK,D,20121129,000000,21.72,21.72,21.087,21.087,14439973,0
914.HK,D,20121130,000000,21.171,21.931,21.171,21.761,16105776,0
914.HK,D,20121203,000000,21.846,22.267,21.551,21.593,10219450,0
914.HK,D,20121204,000000,21.551,22.099,21.383,21.931,8698605,0
914.HK,D,20121205,000000,22.183,23.027,21.931,23.027,24308040,0
914.HK,D,20121206,000000,23.154,23.322,22.732,23.112,14259982,0
914.HK,D,20121207,000000,23.786,24.419,23.617,23.744,33059402,0
914.HK,D,20121210,000000,24.123,24.293,23.829,23.955,10888738,0
914.HK,D,20121211,000000,24.165,24.208,23.406,23.449,14568795,0
914.HK,D,20121212,000000,23.786,24.123,23.702,23.997,9466596,0
914.HK,D,20121213,000000,24.293,24.377,23.744,24.039,11809319,0
914.HK,D,20121214,000000,23.829,24.967,23.829,24.756,17306350,0
914.HK,D,20121217,000000,24.504,25.052,24.419,24.798,12867298,0
914.HK,D,20121218,000000,24.967,25.052,24.419,24.629,9945680,0
914.HK,D,20121219,000000,24.967,24.967,24.419,24.545,14219039,0
914.HK,D,20121220,000000,24.419,24.504,23.575,23.829,20318212,0
914.HK,D,20121221,000000,23.617,24.039,23.449,23.491,12784770,0
914.HK,D,20121224,000000,23.66,23.829,23.533,23.786,3179830,0
914.HK,D,20121227,000000,24.039,24.545,23.786,23.871,6295892,0
914.HK,D,20121228,000000,24.335,24.335,23.617,23.871,7309722,0
914.HK,D,20121231,000000,23.66,23.913,23.66,23.786,4183169,0
914.HK,D,20130102,000000,24.123,24.925,24.123,24.883,13693959,0
914.HK,D,20130103,000000,25.094,25.094,24.504,24.798,16464234,0
914.HK,D,20130104,000000,24.588,24.629,24.165,24.46,11090624,0
